ID,RA,DEC,REDMAG,MIDMAG,BLUEMAG
13,216.6047329000000,35.21367110000000,24.78260000000000,27.66520000000000,26.47970000000000
15,216.6049557000000,35.21383180000000,25.84200000000000,28.20110000000000,26.81540000000000
16,216.6043761000000,35.21387680000000,25.77770000000000,27.69440000000000,25.48000000000000
20,216.6059561000000,35.21548250000000,24.74470000000000,24.05730000000000,27.40100000000000
21,216.6032884000000,35.21431380000000,28.81510000000000,29.57340000000000,27.06690000000000
22,216.6019135000000,35.21426540000000,99.00000000000000,29.61840000000000,28.68270000000000
26,216.6035391000000,35.21477240000000,99.00000000000000,28.26550000000000,28.64800000000000
27,216.6039002000000,35.21500880000000,31.11390000000000,26.65550000000000,29.66250000000000
28,216.6011768000000,35.21592150000000,25.00930000000000,26.86920000000000,31.07810000000000
29,216.6011178000000,35.21634460000000,24.24820000000000,25.62200000000000,27.91380000000000
30,216.6024839000000,35.21575950000000,25.99350000000000,26.37710000000000,28.75060000000000
32,216.6027265000000,35.21596390000000,24.71980000000000,25.69130000000000,28.02700000000000
33,216.6057918000000,35.21583080000000,26.25520000000000,26.47970000000000,28.47080000000000
35,216.6009636000000,35.21779860000000,22.56460000000000,22.84050000000000,29.78750000000000
36,216.6043502000000,35.21615470000000,25.98380000000000,26.81540000000000,27.00250000000000
37,216.6016576000000,35.21620180000000,24.75750000000000,25.48000000000000,25.18080000000000
39,216.6002606000000,35.21594760000000,30.04960000000000,27.26280000000000,27.02570000000000
40,216.6024829000000,35.21584100000000,27.63840000000000,27.70600000000000,22.23800000000000
41,216.5993726000000,35.21609920000000,29.10600000000000,26.82600000000000,26.48580000000000
42,216.6065045000000,35.21593310000000,99.00000000000000,27.40100000000000,27.05280000000000
44,216.6052702000000,35.21614850000000,26.96260000000000,27.06690000000000,26.79220000000000
47,216.6003570000000,35.21619140000000,29.49130000000000,28.68270000000000,28.05270000000000
49,216.5985775000000,35.21740120000000,24.55550000000000,25.29520000000000,99.00000000000000
50,216.5965559000000,35.21656370000000,99.00000000000000,28.85740000000000,99.00000000000000
51,216.5996226000000,35.21690800000000,25.57770000000000,26.13010000000000,26.89280000000000
52,216.6034863000000,35.21669690000000,28.65810000000000,28.64800000000000,99.00000000000000
53,216.5975733000000,35.21672510000000,99.00000000000000,29.66250000000000,27.40180000000000
55,216.6070921000000,35.21676760000000,29.38460000000000,31.07810000000000,27.40380000000000
56,216.5951848000000,35.21712320000000,25.94070000000000,27.91380000000000,25.33380000000000
57,216.5967201000000,35.21693580000000,99.00000000000000,28.75060000000000,26.80550000000000
58,216.5954793000000,35.21766570000000,99.00000000000000,26.06830000000000,27.92200000000000
59,216.5968626000000,35.21726680000000,31.19920000000000,28.02700000000000,24.18790000000000
61,216.6048650000000,35.21733370000000,28.42470000000000,28.47080000000000,29.04490000000000
63,216.5948888000000,35.21750930000000,27.31340000000000,28.91110000000000,27.34860000000000
64,216.6066093000000,35.21743500000000,28.74360000000000,29.78750000000000,28.62230000000000
65,216.5981956000000,35.21789350000000,26.61450000000000,27.00250000000000,27.52600000000000
66,216.6010638000000,35.21814090000000,24.85440000000000,25.18080000000000,24.07460000000000
67,216.6025394000000,35.21759830000000,27.46920000000000,27.43010000000000,27.15950000000000
68,216.6047624000000,35.21774320000000,26.87410000000000,27.02570000000000,26.47320000000000
69,216.6006572000000,35.21942770000000,21.98220000000000,22.23800000000000,26.55010000000000
71,216.6079312000000,35.21841260000000,24.92800000000000,26.48580000000000,26.81080000000000
76,216.6015559000000,35.21835110000000,26.52810000000000,27.05280000000000,26.87230000000000
77,216.6026336000000,35.21911250000000,24.68240000000000,24.94820000000000,28.42100000000000
78,216.5961423000000,35.21829430000000,26.45740000000000,26.79220000000000,25.09250000000000
79,216.6041925000000,35.21831760000000,26.24900000000000,26.25890000000000,22.91810000000000
80,216.6091393000000,35.21864100000000,26.58980000000000,28.66310000000000,28.34940000000000
81,216.5967007000000,35.21812890000000,27.92010000000000,28.05270000000000,26.36030000000000
82,216.5940037000000,35.21844180000000,25.89990000000000,27.08550000000000,27.17310000000000
84,216.6090508000000,35.21834410000000,99.00000000000000,99.00000000000000,27.46870000000000
